iter	Logloss
0	0.6896663668
1	0.6868176328
2	0.6830428422
3	0.6807491741
4	0.6779184077
5	0.6756798124
6	0.6723775287
7	0.6688144254
8	0.6664108871
9	0.6629187086
10	0.6599543142
11	0.6573109769
12	0.6548356376
13	0.6523795601
14	0.6500760355
15	0.6459897615
16	0.6437634022
17	0.6407772577
18	0.6387200639
19	0.6365980222
20	0.6339250169
21	0.6314967852
22	0.629450869
23	0.6264443908
24	0.6235578155
25	0.6207427051
26	0.6181455728
27	0.6148484557
28	0.612472554
29	0.6102172098
30	0.6081747422
31	0.6049641683
32	0.6028701133
33	0.5998690015
34	0.5978557969
35	0.5962276317
36	0.5936396113
37	0.5902116128
38	0.58882094
39	0.5870865508
40	0.585678426
41	0.583638845
42	0.5804669214
43	0.5780339856
44	0.5764528153
45	0.5748447464
46	0.5729297144
47	0.5706143143
48	0.5685165581
49	0.5669809996
50	0.5651061128
51	0.5627595621
52	0.5606677977
53	0.5586798324
54	0.5569439171
55	0.5551246774
56	0.5538151397
57	0.5514668278
58	0.5484508248
59	0.5468933828
60	0.5449840185
61	0.5431118111
62	0.5416284166
63	0.5400981808
64	0.5379537273
65	0.5362640993
66	0.5349205264
67	0.5337045112
68	0.5310767856
69	0.5294266542
70	0.5273193003
71	0.5259349526
72	0.524702899
73	0.5236526628
74	0.5224395503
75	0.5212232556
76	0.5198340307
77	0.5185676425
78	0.5164323449
79	0.5137299304
80	0.5121451252
81	0.5101930073
82	0.5083075989
83	0.5066584789
84	0.50476481
85	0.5034401885
86	0.5019066443
87	0.5002108519
88	0.4987366654
89	0.4973448893
90	0.4956132826
91	0.4937076275
92	0.492096978
93	0.4906762971
94	0.4885761563
95	0.4867624219
96	0.4850047027
97	0.4833933266
98	0.4817785592
99	0.4800770723
