iter	Passed	Remaining
0	1	141
1	2	144
2	5	190
3	8	193
4	9	175
5	10	165
6	11	159
7	12	149
8	15	151
9	16	145
10	21	174
11	23	174
12	24	165
13	25	157
14	26	150
15	27	144
16	29	143
17	30	136
18	36	156
19	37	150
20	38	145
21	39	139
22	40	134
23	40	129
24	41	124
25	42	121
26	43	118
27	45	117
28	47	116
29	48	113
30	49	110
31	50	106
32	51	103
33	51	100
34	52	97
35	53	95
36	54	93
37	55	90
38	56	87
39	57	86
40	59	85
41	60	83
42	60	80
43	61	78
44	62	76
45	63	73
46	63	71
47	64	70
48	65	68
49	66	66
50	67	64
51	67	62
52	68	60
53	69	59
54	71	58
55	72	56
56	73	55
57	73	53
58	74	51
59	75	50
60	76	48
61	76	47
62	78	45
63	78	44
64	79	42
65	80	41
66	80	39
67	81	38
68	83	37
69	85	36
70	86	35
71	87	33
72	88	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	92	24
79	93	23
80	94	22
81	94	20
82	95	19
83	98	18
84	99	17
85	100	16
86	100	15
87	101	13
88	102	12
89	103	11
90	103	10
91	104	9
92	105	7
93	106	6
94	106	5
95	107	4
96	108	3
97	108	2
98	110	1
99	113	0
